EAN,Country,Buybox price
194343151403,Finland,83.88
0194343108872,Lithuania,94.14
0194343108872,Latvia,83.13
0194343108872,Estonia,88.4
0194343108872,Finland,85.88
0194343023908,Lithuania,46.99
0194343023908,Latvia,44.95
0194343023908,Estonia,44.82
0194343023908,Finland,36.02
0194343105673,Lithuania,112.07
0194343105673,Latvia,113.63
0194343105673,Estonia,109.34
6955880398713,Lithuania,70.1
6955880398713,Latvia,70.82
6955880398713,Estonia,70.57
0194343107806,Lithuania,210.81
0194343107806,Latvia,211.94
0194343107806,Estonia,209.49
0194343107806,Finland,238.35
0194343148366,Lithuania,142.59
0194343019451,Latvia,115.49
0194343019451,Estonia,114.83
0194343040936,Lithuania,132.7
0194343040936,Latvia,121.74
0194343040936,Estonia,118.11
0194343147482,Lithuania,70.53
0194343147482,Latvia,66.14
0194343147482,Estonia,70.14
0194343147482,Finland,65.21
194343151724,Lithuania,127.54
194343151724,Latvia,135.99
194343151724,Estonia,125.24
194343151724,Finland,
194343151717,Lithuania,
194343151717,Latvia,137.25
194343151717,Estonia,125.38
194343151717,Finland,
194343151403,Lithuania,127.54
194343151403,Latvia,116.79
194343151403,Estonia,125.24
0194343081854,Latvia,116.45
0194343081854,Estonia,118.61
0194343081854,Finland,127.24
0194343008974,Lithuania,132.98
0194343008974,Latvia,132.61
0194343008974,Estonia,118.61
0194343008974,Finland,
0194343009247,Lithuania,132.3
0194343009247,Latvia,131.94
0194343009247,Estonia,116.06
0194343009247,Finland,125.86
0194343081892,Lithuania,128.55
0194343081892,Latvia,115.27
0194343081892,Estonia,117.56
0194343081892,Finland,125.86
0194343082080,Lithuania,140.24
0194343082080,Latvia,142.91
0194343082080,Estonia,117.11
0194343082080,Finland,127.24
0194343019451,Lithuania,113.84
0194343022024,Latvia,171.29
0194343022024,Estonia,177.88
0194343022024,Finland,187.49
0194343106922,Lithuania,680.7
0194343106922,Latvia,547.09
0194343106922,Estonia,564.32
0194343106922,Finland,623.77
0194343146089,Lithuania,116.19
0194343146089,Latvia,97.01
0194343146089,Estonia,95.06
0194343146089,Finland,101.17
0194343000299,Lithuania,96.04
0194343000299,Latvia,88.43
0194343000299,Estonia,95.79
0194343000299,Finland,117.6
0194343008103,Lithuania,140.24
0194343008103,Latvia,127.03
0194343008103,Estonia,134.42
0194343008103,Finland,143.14
0194343081854,Lithuania,133.72
0194343081717,Latvia,84.67
0194343081717,Estonia,84.3
0194343081717,Finland,83.36
0194343003386,Lithuania,66.66
0194343108568,Lithuania,112.99
0194343108568,Latvia,112.99
0194343108568,Estonia,112.99
0194343108568,Finland,125.99
0194343081922,Lithuania,94.91
0194343081922,Latvia,94.41
0194343081922,Estonia,90.71
0194343081922,Finland,110.93
0194343024691,Lithuania,
0194343024691,Latvia,114.05
0194343024691,Finland,
0194343022031,Lithuania,632.66
0194343022031,Latvia,574.69
0194343022031,Estonia,592.62
0194343022031,Finland,583.75
0194343022024,Lithuania,174.23
0194343148342,Finland,28.57
0194343102696,Lithuania,157.69
6955880353545,Lithuania,142.59
0194343140872,Lithuania,48.82
0194343140872,Latvia,48.68
0194343140872,Estonia,58.65
0194343140872,Finland,61.32
0194343140957,Lithuania,48.82
0194343140957,Latvia,48.68
0194343140957,Estonia,84.68
0194343140957,Finland,80.74
0194343016214,Lithuania,46.18
0194343016214,Latvia,44.64
0194343016214,Estonia,47.39
0194343016214,Finland,40.47
0194343140841,Lithuania,88.55
0194343140841,Latvia,88.28
0194343140841,Estonia,80.59
0194343140841,Finland,77.84
0194343081717,Lithuania,95.47
0194343147109,Estonia,81.75
0194343147109,Finland,82.43
0194343024073,Lithuania,117.04
