EAN,Country,Buybox price
6955880316847,Finland,148.14
6955880399598,Finland,141.71
6955880332915,Finland,
6955880357710,Finland,98.35
0194343035925,Finland,45.39
194343189345,Latvia,
6955880315857,Finland,133.2
0194343025933,Estonia,
0194343025933,Finland,
0194343050775,Latvia,101.4
0194343189642,Latvia,79.88
6955880399864,Latvia,
0194343025933,Latvia,
6955880399864,Estonia,
6955880399925,Estonia,
6955880399925,Latvia,
0194343029139,Latvia,96.47
6955880399864,Finland,
194343155050,Latvia,
6955880399925,Finland,
0194343016153,Finland,40.06
6955880390694,Finland,51.45
194343153841,Latvia,119.09
6955880306992,Latvia,
0194343030425,Estonia,
0194343049809,Latvia,
6955880306992,Finland,75.07
6955880358151,Finland,73.01
6955880393046,Finland,
6955880333141,Finland,84.74
0194343106434,Estonia,31.82
0194343106434,Finland,22.88
6955880393107,Finland,120.67
6955880393091,Finland,
0194343100388,Finland,77.17
0194343016184,Estonia,36.21
0194343016184,Finland,25.19
0194343030425,Finland,44.74
0194343030425,Latvia,45.59
194343186191,Latvia,63.28
194343153308,Latvia,50.29
0194343031620,Latvia,42.39
194343146201,Latvia,68.94
194343048147,Latvia,114.29
194343149929,Latvia,201.83
0194343082042,Latvia,289.58
194343143026,Finland,49.04
0194343107783,Latvia,108.77
194343194059,Latvia,
0194343188188,Latvia,79.27
6955880358151,Latvia,68.74
0194343100388,Estonia,
6955880390694,Latvia,55.59
0194343100388,Latvia,
0194343035925,Latvia,49.79
0194343035925,Estonia,50.91
6955880316847,Latvia,138.67
6955880332915,Latvia,125.19
6955880357710,Latvia,85.4
6955880333141,Latvia,76.64
194343146157,Latvia,83.29
6955880396061,Finland,106.64
194343153315,Finland,
194343153988,Finland,73.03
194343154121,Finland,53.74
194343140735,Latvia,56.59
194343048161,Latvia,58.79
194343199795,Latvia,62.14
0194343081090,Latvia,87.87
0194343190907,Latvia,121.06
194343191713,Latvia,
194343152011,Latvia,58.37
194343152059,Latvia,84.18
194343152059,Estonia,83.64
194343146065,Latvia,27.76
194343149738,Latvia,14.68
0692232277680,Lithuania,
0194343199467,Latvia,64.52
194343154671,Latvia,
6955880358144,Finland,49.21
0194343187259,Latvia,100.89
0194343195209,Latvia,108.77
0194343195193,Latvia,108.77
0194343031491,Latvia,67.99
0194343029443,Latvia,
0194343143699,Latvia,184.84
0194343143682,Latvia,152.79
0194343141732,Latvia,
0194343140964,Latvia,
0194343142630,Latvia,
0194343156729,Latvia,58.79
0194343156712,Latvia,64.14
194343153315,Latvia,
194343153315,Estonia,
194343154466,Latvia,0.0
194343153988,Latvia,67.44
194343154121,Latvia,53.6
0194343187242,Latvia,98.14
6955880327690,Latvia,47.31
194343146140,Latvia,68.14
194343146195,Latvia,97.44
194343146102,Latvia,46.79
194343153520,Latvia,143.99
194343151502,Latvia,203.41
194343155067,Latvia,44.85
194343155074,Latvia,51.0
194343145839,Latvia,44.53
194343145006,Latvia,80.74
194343187365,Latvia,
194343187389,Latvia,54.68
6955880396061,Latvia,114.74
6955880396061,Estonia,127.77
6955880347742,Latvia,47.31
6955880326235,Latvia,14.95
6955880326273,Latvia,27.65
194343028088,Latvia,30.28
194343146898,Latvia,89.89
194343199023,Latvia,128.99
0194343037004,Latvia,230.73
0194343199009,Latvia,86.62
194343199832,Latvia,79.27
194343050041,Latvia,
194343185637,Latvia,62.07
194343187501,Latvia,92.91
194343185644,Latvia,66.98
194343184838,Latvia,47.44
194343082189,Latvia,81.69
194343199764,Latvia,
194343199672,Latvia,
194343184739,Latvia,75.64
194343081144,Latvia,79.19
194343187129,Latvia,66.98
194343149936,Latvia,202.46
194343107967,Latvia,
194343080529,Latvia,102.89
194343145983,Latvia,103.48
194343151991,Latvia,59.6
194343152028,Latvia,59.6
194343152042,Finland,61.65
194343146188,Latvia,35.56
194343146997,Estonia,192.99
194343071442,Lithuania,111.7
194343071442,Estonia,123.3
194343071442,Finland,118.54
