EAN,Country,Buybox price
194343149943,Latvia,196.24
194343145884,Latvia,38.95
194343145846,Latvia,50.07
194343048574,Latvia,134.1
0194343014654,Latvia,103.17
0194343014654,Estonia,94.24
6955880390403,Finland,
194343000000,Lithuania,
194343000000,Latvia,40.31
194343000000,Finland,
194343000000,Estonia,40.65
194343155388,Finland,118.18
194343145853,Latvia,47.6
194343154060,Latvia,137.15
194343155388,Latvia,109.39
0194343013398,Latvia,114.93
194343151731,Latvia,51.44
0194343156736,Latvia,73.39
0194343080864,Latvia,74.38
0194343150406,Latvia,74.38
0194343142906,Latvia,66.14
0194343107165,Estonia,28.93
0194343808347,Latvia,53.36
6955880349678,Finland,
0194343107165,Finland,24.0
0194343044170,Latvia,
0194343189901,Latvia,
194343145228,Latvia,111.49
194343151779,Finland,272.71
PIGU70058548,Finland,
194343151397,Estonia,48.15
194343151397,Latvia,41.42
194343151397,Finland,40.79
194343151427,Latvia,48.84
194343146171,Latvia,132.65
0194343140353,Latvia,41.37
194343153896,Latvia,85.4
194343153896,Finland,89.89
0194343190914,Latvia,113.09
6955880396085,Latvia,217.35
6955880399925,Estonia,
6955880399925,Latvia,
0194343029139,Latvia,92.49
6955880399864,Finland,
194343155050,Latvia,42.48
6955880399925,Finland,
6955880326266,Latvia,29.07
6955880344635,Finland,37.78
0194343022727,Finland,30.35
0194343020686,Finland,24.0
0194343020501,Finland,33.5
0194343106021,Finland,26.43
0194343021430,Finland,35.42
0194343014210,Finland,184.98
0194343016627,Finland,45.67
194343036304,Latvia,
6955880326259,Latvia,17.75
6955880326242,Latvia,27.0
6955880326280,Latvia,27.19
6955880326280,Finland,25.09
0194343100388,Finland,82.38
0194343104843,Estonia,37.04
0194343104843,Finland,27.0
0194343030425,Finland,47.42
0194343030425,Latvia,44.22
194343186191,Latvia,51.75
6955880316847,Finland,124.04
6955880399598,Finland,140.17
6955880332915,Finland,140.82
6955880357710,Finland,89.77
0194343035925,Finland,29.14
194343189345,Latvia,74.48
6955880315857,Finland,141.79
0194343025933,Estonia,
0194343025933,Finland,
0194343050775,Latvia,105.67
0194343189642,Latvia,0.0
6955880399864,Latvia,
0194343025933,Latvia,
6955880399864,Estonia,
0194343035925,Latvia,33.14
0194343035925,Estonia,40.34
6955880316847,Latvia,105.64
6955880332915,Latvia,117.98
6955880357710,Latvia,78.29
6955880333141,Latvia,53.31
0194343016153,Finland,44.29
6955880390694,Finland,47.05
194343153841,Latvia,90.82
6955880306992,Latvia,70.29
0194343030425,Estonia,41.21
0194343049809,Latvia,87.37
6955880306992,Finland,68.64
6955880358151,Finland,72.78
6955880393046,Finland,87.57
6955880333141,Finland,71.18
0194343106434,Estonia,30.46
0194343106434,Finland,24.0
6955880393107,Finland,121.98
6955880393091,Finland,
194343146065,Latvia,27.96
194343149738,Latvia,22.59
0692232277680,Lithuania,
0194343199467,Latvia,53.44
194343154671,Latvia,
6955880358144,Finland,51.73
194343153308,Latvia,37.93
0194343031620,Latvia,42.48
194343146201,Latvia,0.0
194343048147,Latvia,0.0
194343149929,Latvia,204.64
0194343082042,Latvia,277.89
194343143026,Finland,36.39
0194343107783,Latvia,100.24
194343194059,Latvia,58.54
0194343188188,Latvia,79.73
6955880358151,Latvia,68.74
0194343100388,Estonia,73.97
6955880390694,Latvia,50.24
0194343100388,Latvia,81.71
194343154466,Latvia,48.66
194343153988,Latvia,84.25
194343154121,Latvia,56.91
0194343187242,Latvia,82.1
6955880327690,Latvia,0.0
194343146140,Latvia,64.3
194343146157,Latvia,78.24
6955880396061,Finland,50.63
194343153315,Finland,153.29
194343153988,Finland,80.32
194343154121,Finland,51.54
194343140735,Latvia,63.88
194343048161,Latvia,73.79
194343199795,Latvia,107.87
0194343081090,Latvia,77.6
0194343190907,Latvia,106.61
194343191713,Latvia,
194343152011,Latvia,58.72
194343152059,Latvia,63.89
194343152059,Estonia,71.09
6955880326273,Latvia,26.6
194343028088,Latvia,31.54
194343146898,Latvia,77.98
194343199023,Latvia,99.86
0194343037004,Latvia,241.68
0194343199009,Latvia,84.55
0194343187259,Latvia,79.8
0194343195209,Latvia,86.85
0194343195193,Latvia,109.39
0194343031491,Latvia,61.41
0194343029443,Latvia,
0194343143699,Latvia,173.54
0194343143682,Latvia,326.53
0194343141732,Latvia,
0194343140964,Latvia,
0194343142630,Latvia,
0194343156729,Latvia,60.19
0194343156712,Latvia,65.99
194343153315,Latvia,185.11
194343153315,Estonia,168.28
194343080529,Latvia,111.92
194343145983,Latvia,86.41
194343151991,Latvia,53.99
194343152028,Latvia,51.65
194343152042,Finland,66.24
194343146188,Latvia,37.17
194343146195,Latvia,181.13
194343146102,Latvia,68.19
194343153520,Latvia,135.72
194343151502,Latvia,203.74
194343155067,Latvia,44.95
194343155074,Latvia,51.31
194343145839,Latvia,52.54
194343145006,Latvia,97.29
194343187365,Latvia,
194343187389,Latvia,52.44
6955880396061,Latvia,74.31
6955880396061,Estonia,78.22
6955880347742,Latvia,46.24
6955880326235,Latvia,23.0
6955880343942,Latvia,98.49
6955880343942,Estonia,107.84
6955880343942,Finland,119.75
6955880308170,Finland,25.0
0194343078410,Latvia,116.61
