EAN,Country,Buybox price
194343151403,Finland,83.88
0194343108872,Lithuania,101.57
0194343108872,Latvia,84.67
0194343108872,Estonia,84.3
0194343108872,Finland,85.88
0194343023908,Lithuania,52.69
0194343023908,Latvia,44.95
0194343023908,Estonia,44.85
0194343023908,Finland,36.02
0194343105673,Lithuania,109.49
0194343105673,Latvia,113.63
0194343105673,Estonia,106.69
6955880398713,Lithuania,73.81
6955880398713,Latvia,72.78
6955880398713,Estonia,70.32
0194343107806,Lithuania,208.64
0194343107806,Latvia,211.94
0194343107806,Estonia,207.74
0194343107806,Finland,212.25
0194343148366,Lithuania,156.91
0194343019451,Latvia,87.15
0194343019451,Estonia,97.33
0194343040936,Lithuania,113.35
0194343040936,Latvia,103.2
0194343040936,Estonia,101.33
0194343147482,Lithuania,68.99
0194343147482,Latvia,55.95
0194343147482,Estonia,62.09
0194343147482,Finland,53.83
194343151724,Lithuania,127.54
194343151724,Latvia,136.49
194343151724,Estonia,125.24
194343151724,Finland,
194343151717,Lithuania,127.54
194343151717,Latvia,137.11
194343151717,Estonia,125.24
194343151717,Finland,83.88
194343151403,Lithuania,127.54
194343151403,Latvia,116.79
194343151403,Estonia,125.24
0194343081854,Latvia,104.63
0194343081854,Estonia,121.18
0194343081854,Finland,113.45
0194343008974,Lithuania,135.08
0194343008974,Latvia,137.11
0194343008974,Estonia,121.11
0194343008974,Finland,121.72
0194343009247,Lithuania,138.96
0194343009247,Latvia,141.47
0194343009247,Estonia,118.06
0194343009247,Finland,125.86
0194343081892,Lithuania,135.08
0194343081892,Latvia,111.72
0194343081892,Estonia,120.06
0194343081892,Finland,121.72
0194343082080,Lithuania,138.96
0194343082080,Latvia,141.47
0194343082080,Estonia,116.11
0194343082080,Finland,125.86
0194343019451,Lithuania,104.15
0194343022024,Latvia,171.29
0194343022024,Estonia,177.88
0194343022024,Finland,187.49
0194343106922,Lithuania,114.25
0194343106922,Latvia,219.61
0194343106922,Estonia,207.9
0194343106922,Finland,221.45
0194343146089,Lithuania,116.99
0194343146089,Latvia,97.01
0194343146089,Estonia,95.56
0194343146089,Finland,101.17
0194343000299,Lithuania,106.45
0194343000299,Latvia,104.46
0194343000299,Estonia,104.19
0194343000299,Finland,113.27
0194343008103,Lithuania,104.15
0194343008103,Latvia,90.94
0194343008103,Estonia,97.33
0194343008103,Finland,99.72
0194343081854,Lithuania,127.36
0194343081717,Latvia,94.94
0194343081717,Estonia,84.55
0194343081717,Finland,95.73
0194343003386,Lithuania,62.22
0194343108568,Lithuania,112.99
0194343108568,Latvia,112.99
0194343108568,Estonia,112.99
0194343108568,Finland,125.99
0194343081922,Lithuania,108.59
0194343081922,Latvia,108.02
0194343081922,Estonia,108.59
0194343081922,Finland,107.14
0194343024691,Lithuania,118.37
0194343024691,Latvia,114.05
0194343024691,Finland,
0194343022031,Lithuania,632.66
0194343022031,Latvia,574.69
0194343022031,Estonia,592.62
0194343022031,Finland,583.75
0194343022024,Lithuania,174.23
0194343148342,Finland,27.68
0194343102696,Lithuania,157.69
6955880353545,Lithuania,142.59
0194343140872,Lithuania,48.82
0194343140872,Latvia,48.68
0194343140872,Estonia,58.65
0194343140872,Finland,49.09
0194343140957,Lithuania,81.76
0194343140957,Latvia,79.23
0194343140957,Estonia,74.32
0194343140957,Finland,64.2
0194343016214,Lithuania,46.18
0194343016214,Latvia,45.79
0194343016214,Estonia,54.99
0194343016214,Finland,46.04
0194343140841,Lithuania,87.8
0194343140841,Latvia,87.28
0194343140841,Estonia,80.34
0194343140841,Finland,77.84
0194343081717,Lithuania,95.22
0194343147109,Estonia,65.69
0194343147109,Finland,65.34
0194343024073,Lithuania,94.5
0194343024073,Latvia,91.57
0194343024073,Estonia,78.87
0194343024073,Finland,78.44
0194343081113,Lithuania,97.06
0194343081113,Latvia,80.35
0194343081113,Estonia,90.04
0194343147345,Lithuania,26.21
0194343147345,Latvia,26.95
0194343147345,Estonia,32.29
0194343147345,Finland,27.0
0194343103204,Lithuania,12.06
0194343103204,Latvia,27.0
0194343103204,Estonia,28.43
0194343103204,Finland,24.0
0194343148342,Lithuania,26.22
0194343148342,Latvia,26.13
0194343148342,Estonia,39.17
0194343041216,Finland,60.68
0194343041209,Lithuania,47.75
0194343041209,Latvia,57.88
0194343041209,Estonia,48.17
0194343041209,Finland,51.46
0194343104867,Lithuania,32.09
0194343104867,Latvia,0.0
0194343104867,Estonia,32.09
0194343108988,Lithuania,135.08
0194343108988,Latvia,137.11
0194343108988,Estonia,129.13
0194343081038,Lithuania,83.18
0194343081038,Latvia,87.21
0194343081038,Finland,93.01
0194343100371,Lithuania,80.81
0194343100371,Latvia,81.91
0194343100371,Estonia,82.01
0194343100371,Finland,79.0
0194343147109,Lithuania,70.6
0194343147109,Latvia,67.54
0194343147826,Estonia,121.11
0194343147826,Finland,120.71
0194343069333,Lithuania,171.37
0194343069333,Latvia,186.44
0194343069333,Estonia,170.29
194343146980,Lithuania,75.0
194343146980,Latvia,63.67
194343146980,Estonia,67.37
194343146980,Finland,60.68
0194343141428,Lithuania,13.19
0194343141428,Latvia,20.13
0194343141428,Estonia,13.31
0194343141428,Finland,13.27
0194343141411,Lithuania,23.75
194343141411,Latvia,31.52
194343141411,Estonia,31.52
0194343141411,Finland,22.25
0194343041216,Lithuania,87.5
0194343041216,Latvia,63.67
0194343041216,Estonia,67.37
0194343018157,Finland,112.84
0194343154954,Lithuania,60.85
0194343042862,Lithuania,64.08
194343042862,Latvia,24.98
194343042862,Estonia,23.65
0194343016351,Lithuania,29.84
0194343016351,Latvia,24.0
0194343016351,Estonia,24.93
0194343016351,Finland,24.0
6955880391899,Lithuania,
6955880391899,Latvia,
6955880391899,Estonia,
6955880391899,Finland,
0194343191362,Lithuania,91.31
6955880354047,Lithuania,88.29
6955880354047,Latvia,76.03
6955880354047,Estonia,80.06
6955880354047,Finland,87.47
0194343147826,Lithuania,120.06
0194343147826,Latvia,148.22
194343148090,Estonia,49.05
0194343148090,Finland,26.75
0194343030876,Lithuania,53.01
194343030876,Latvia,49.16
194343030876,Estonia,46.54
0194343030876,Finland,38.22
0194343147659,Lithuania,44.69
0194343147659,Latvia,44.29
0194343147659,Estonia,42.58
0194343147659,Finland,34.57
0194343106038,Lithuania,52.69
0194343106038,Latvia,46.91
0194343106038,Estonia,44.85
0194343103181,Lithuania,140.24
0194343103181,Latvia,121.74
0194343103181,Estonia,116.8
0194343103181,Finland,127.24
0194343018157,Lithuania,143.49
0194343018157,Latvia,147.84
0194343018157,Estonia,142.61
0194343016696,Estonia,0.0
0194343016696,Finland,33.41
6955880305636,Lithuania,0.0
6955880305636,Latvia,0.0
6955880305636,Estonia,171.24
6955880305636,Finland,196.27
0194343021096,Lithuania,39.64
0194343021096,Latvia,29.04
0194343021096,Estonia,33.26
0194343021096,Finland,27.0
0194343021157,Lithuania,53.77
0194343021157,Latvia,36.78
0194343021157,Estonia,43.62
0194343021157,Finland,36.29
0194343021164,Lithuania,43.29
0194343021164,Latvia,36.78
0194343021164,Estonia,42.07
0194343021164,Finland,32.26
0194343148090,Lithuania,0.0
194343148090,Latvia,49.05
0194343041476,Estonia,159.01
0194343041476,Finland,155.79
0194343147383,Lithuania,62.95
0194343147383,Latvia,58.78
0194343147383,Estonia,57.58
0194343147383,Finland,47.29
0194343103822,Lithuania,32.61
0194343103822,Latvia,23.0
0194343103822,Estonia,27.71
0194343103822,Finland,24.0
0194343080789,Lithuania,22.11
0194343080789,Latvia,20.25
0194343080789,Estonia,18.78
0194343080789,Finland,21.95
0194343016078,Lithuania,55.45
0194343016078,Latvia,49.49
0194343016078,Estonia,47.61
0194343016078,Finland,38.78
0194343016696,Lithuania,55.79
0194343016696,Latvia,0.0
0194343028931,Lithuania,59.49
