EAN,Country,Buybox price
0194343025971,Finland,27.0
0194343148250,Finland,27.0
0194343147338,Estonia,42.38
6955880338009,Finland,
6955880307586,Finland,
6955880358854,Finland,
0194343147031,Estonia,28.96
0194343033990,Estonia,39.9
0194343148274,Estonia,34.46
0194343041711,Estonia,105.34
0194343080406,Estonia,
0194343082462,Estonia,99.3
0194343148373,Estonia,31.6
0194343147321,Estonia,51.05
0194343147321,Finland,47.26
0194343148250,Estonia,24.68
0194343082196,Estonia,
0194343080390,Estonia,
0194343043579,Estonia,61.16
0194343077284,Estonia,
194343141329,Finland,
194343196398,Finland,
0194343147529,Estonia,53.74
0194343147093,Estonia,52.9
0194343042220,Estonia,
0194343069340,Estonia,
0194343040875,Estonia,51.53
0194343148144,Estonia,31.88
0194343080598,Estonia,43.28
0194343147529,Finland,48.69
6955880326228,Finland,24.0
0194343080598,Finland,50.33
0194343107905,Estonia,50.21
0194343028477,Estonia,52.99
0194343147031,Finland,27.0
0194343107905,Finland,39.62
0194343028477,Finland,42.01
194343151533,Finland,24.0
194343152059,Finland,86.84
0194343148373,Finland,24.0
0194343107806,Latvia,211.94
0194343107806,Estonia,207.74
0194343107806,Finland,212.25
0194343148366,Lithuania,152.24
0194343193892,Estonia,
0194343184449,Finland,135.17
194343143491,Finland,87.4
0194343193892,Finland,28.13
0194343147093,Finland,41.9
194343154695,Finland,81.95
194343153711,Finland,112.21
194343144191,Finland,79.0
194343144184,Finland,
0194343042220,Finland,80.36
0194343069340,Finland,
0194343040875,Finland,41.9
0194343080406,Finland,45.67
0194343148144,Finland,24.0
194343038483,Finland,194.94
194343039169,Finland,
194343151717,Finland,83.88
194343151403,Lithuania,126.04
194343151403,Latvia,115.44
194343151403,Estonia,125.24
194343151403,Finland,83.88
0194343108872,Lithuania,103.52
0194343108872,Latvia,86.3
0194343108872,Estonia,88.05
0194343108872,Finland,85.88
0194343023908,Lithuania,51.69
0194343023908,Latvia,44.29
0194343023908,Estonia,44.6
0194343023908,Finland,36.02
0194343105673,Lithuania,110.24
0194343105673,Latvia,113.63
0194343105673,Estonia,106.69
6955880398713,Lithuania,71.24
6955880398713,Latvia,73.03
6955880398713,Estonia,69.57
0194343107806,Lithuania,208.64
0194343082080,Latvia,137.01
0194343082080,Estonia,118.81
0194343082080,Finland,125.86
0194343019451,Lithuania,111.1
0194343019451,Latvia,92.9
0194343019451,Estonia,103.89
0194343040936,Lithuania,123.85
0194343040936,Latvia,116.4
0194343040936,Estonia,114.04
0194343147482,Lithuania,70.34
0194343147482,Latvia,56.22
0194343147482,Estonia,65.38
0194343147482,Finland,59.44
194343151724,Lithuania,111.07
194343151724,Latvia,118.46
194343151724,Estonia,106.16
194343151724,Finland,64.03
194343151717,Lithuania,126.04
194343151717,Latvia,135.64
194343151717,Estonia,125.24
0194343008103,Latvia,108.73
0194343008103,Estonia,112.79
0194343008103,Finland,104.97
0194343081854,Lithuania,125.74
0194343081854,Latvia,106.65
0194343081854,Estonia,105.59
0194343081854,Finland,113.45
0194343008974,Lithuania,133.64
0194343008974,Latvia,135.64
0194343008974,Estonia,114.9
0194343008974,Finland,121.72
0194343009247,Lithuania,137.44
0194343009247,Latvia,139.74
0194343009247,Estonia,115.31
0194343009247,Finland,125.86
0194343081892,Lithuania,133.64
0194343081892,Latvia,113.87
0194343081892,Estonia,113.65
0194343081892,Finland,121.72
0194343082080,Lithuania,141.64
0194343022031,Latvia,574.69
0194343022031,Estonia,592.62
0194343022031,Finland,583.75
0194343022024,Lithuania,177.57
0194343022024,Latvia,174.58
0194343022024,Estonia,177.88
0194343022024,Finland,187.49
0194343106922,Lithuania,114.25
0194343106922,Latvia,186.52
0194343106922,Estonia,176.58
0194343106922,Finland,188.09
0194343146089,Lithuania,113.89
0194343146089,Latvia,94.99
0194343146089,Estonia,96.81
0194343146089,Finland,101.17
0194343000299,Lithuania,89.59
0194343000299,Latvia,86.87
0194343000299,Estonia,88.38
0194343000299,Finland,98.42
0194343008103,Lithuania,119.95
0194343140841,Latvia,95.39
0194343140841,Estonia,82.84
0194343140841,Finland,77.84
0194343081717,Lithuania,94.97
0194343081717,Latvia,86.3
0194343081717,Estonia,84.3
0194343081717,Finland,95.58
0194343003386,Lithuania,59.93
0194343108568,Lithuania,112.99
0194343108568,Latvia,112.99
0194343108568,Estonia,112.99
0194343108568,Finland,125.99
0194343081922,Lithuania,112.2
0194343081922,Latvia,112.2
0194343081922,Estonia,108.09
0194343081922,Finland,110.93
0194343024691,Lithuania,120.64
0194343024691,Latvia,99.02
0194343024691,Finland,
0194343022031,Lithuania,632.66
0194343103204,Finland,24.0
0194343148342,Lithuania,26.22
0194343148342,Latvia,26.13
0194343148342,Estonia,39.17
0194343148342,Finland,27.66
0194343102696,Lithuania,161.47
6955880353545,Lithuania,145.33
0194343140872,Lithuania,58.65
0194343140872,Latvia,58.65
0194343140872,Estonia,58.65
0194343140872,Finland,61.32
0194343140957,Lithuania,92.08
0194343140957,Latvia,89.51
0194343140957,Estonia,83.57
0194343140957,Finland,72.27
0194343016214,Lithuania,50.76
0194343016214,Latvia,37.75
0194343016214,Estonia,45.54
0194343016214,Finland,34.26
0194343140841,Lithuania,93.32
0194343100371,Estonia,84.51
0194343100371,Finland,79.0
0194343147109,Lithuania,76.18
0194343147109,Latvia,79.01
0194343147109,Estonia,75.95
0194343147109,Finland,70.59
0194343024073,Lithuania,103.16
0194343024073,Latvia,102.07
0194343024073,Estonia,97.65
0194343024073,Finland,90.45
0194343081113,Lithuania,103.52
0194343081113,Latvia,86.3
0194343081113,Estonia,94.68
0194343147345,Lithuania,31.95
0194343147345,Latvia,32.04
0194343147345,Estonia,32.7
0194343147345,Finland,27.0
0194343103204,Lithuania,37.81
0194343103204,Latvia,27.39
0194343103204,Estonia,28.43
0194343141411,Finland,27.0
0194343041216,Lithuania,71.46
0194343041216,Latvia,64.9
0194343041216,Estonia,67.37
0194343041216,Finland,60.68
0194343041209,Lithuania,59.3
0194343041209,Latvia,61.8
0194343041209,Estonia,60.5
0194343041209,Finland,60.16
0194343104867,Lithuania,32.09
0194343104867,Latvia,0.0
0194343104867,Estonia,32.09
0194343108988,Lithuania,137.69
0194343108988,Latvia,139.75
0194343108988,Estonia,129.13
0194343081038,Lithuania,93.02
0194343081038,Latvia,90.46
0194343081038,Finland,82.61
0194343100371,Lithuania,95.03
0194343100371,Latvia,83.48
6955880354047,Estonia,80.06
6955880354047,Finland,87.47
0194343147826,Lithuania,163.77
0194343147826,Latvia,159.72
0194343147826,Estonia,151.16
0194343147826,Finland,148.33
0194343069333,Lithuania,174.67
0194343069333,Latvia,190.01
0194343069333,Estonia,170.29
194343146980,Lithuania,71.46
194343146980,Latvia,64.9
194343146980,Estonia,67.37
194343146980,Finland,60.68
0194343141428,Lithuania,20.13
0194343141428,Latvia,20.38
0194343141428,Estonia,20.13
0194343141428,Finland,27.0
0194343141411,Lithuania,24.0
194343141411,Latvia,26.13
194343141411,Estonia,26.13
0194343103181,Finland,127.24
0194343018157,Lithuania,140.49
0194343018157,Latvia,143.49
0194343018157,Estonia,140.94
0194343018157,Finland,112.84
0194343154954,Lithuania,59.64
0194343042862,Lithuania,65.32
194343042862,Latvia,24.98
194343042862,Estonia,23.65
0194343016351,Lithuania,30.74
0194343016351,Latvia,24.0
0194343016351,Estonia,26.08
0194343016351,Finland,24.0
6955880391899,Lithuania,
6955880391899,Latvia,
6955880391899,Estonia,
6955880391899,Finland,
0194343191362,Lithuania,90.24
6955880354047,Lithuania,86.44
6955880354047,Latvia,74.44
0194343021164,Estonia,41.82
0194343021164,Finland,32.26
0194343148090,Lithuania,0.0
194343148090,Latvia,55.8
194343148090,Estonia,55.8
0194343148090,Finland,26.75
0194343030876,Lithuania,60.5
194343030876,Latvia,59.94
194343030876,Estonia,56.74
0194343030876,Finland,45.39
0194343147659,Lithuania,44.69
0194343147659,Latvia,45.32
0194343147659,Estonia,42.83
0194343147659,Finland,37.56
0194343106038,Lithuania,61.12
0194343106038,Latvia,54.91
0194343106038,Estonia,52.41
0194343103181,Lithuania,135.69
0194343103181,Latvia,119.44
0194343103181,Estonia,117.55
0194343016078,Estonia,52.41
0194343016078,Finland,44.03
0194343016696,Lithuania,55.79
0194343016696,Latvia,0.0
0194343016696,Estonia,0.0
0194343016696,Finland,33.41
6955880305636,Lithuania,0.0
6955880305636,Latvia,0.0
6955880305636,Estonia,171.24
6955880305636,Finland,196.27
0194343021096,Lithuania,38.19
0194343021096,Latvia,29.6
0194343021096,Estonia,33.01
0194343021096,Finland,27.0
0194343021157,Lithuania,48.19
0194343021157,Latvia,37.49
0194343021157,Estonia,43.62
0194343021157,Finland,36.29
0194343021164,Lithuania,43.29
0194343021164,Latvia,37.49
0194343080482,Latvia,176.49
0194343080482,Estonia,186.18
0194343041476,Lithuania,159.01
0194343041476,Latvia,159.26
0194343041476,Estonia,159.01
0194343041476,Finland,155.79
0194343147383,Lithuania,64.25
0194343147383,Latvia,59.22
0194343147383,Estonia,58.89
0194343147383,Finland,52.98
0194343103822,Lithuania,32.61
0194343103822,Latvia,23.33
0194343103822,Estonia,27.46
0194343103822,Finland,24.0
0194343080789,Lithuania,22.11
0194343080789,Latvia,19.84
0194343080789,Estonia,18.78
0194343080789,Finland,21.2
0194343016078,Lithuania,55.13
0194343016078,Latvia,55.69
6955880305186,Lithuania,55.58
6955880305186,Latvia,44.04
6955880305186,Estonia,46.34
6955880305186,Finland,35.1
0194343028931,Lithuania,59.49
0194343028931,Latvia,58.24
0194343028931,Estonia,56.83
0194343028931,Finland,48.43
0194343189383,Lithuania,112.29
0194343189383,Latvia,108.01
0194343189383,Estonia,105.06
0194343189383,Finland,95.05
194343140544,Lithuania,89.89
194343140544,Latvia,90.37
194343140544,Estonia,85.55
194343140551,Lithuania,131.41
194343140551,Latvia,131.65
194343140551,Estonia,115.86
194343140551,Finland,111.81
0194343080482,Lithuania,189.49
0194343082271,Estonia,52.99
0194343082271,Finland,44.53
0194343082165,Lithuania,59.73
0194343082165,Latvia,50.63
0194343082165,Estonia,52.99
0194343082165,Finland,44.53
0194343010397,Lithuania,0.0
0194343010397,Latvia,0.0
0194343010397,Estonia,48.19
