EAN,Country,Buybox price
194343145228,Latvia,111.49
194343151779,Finland,278.11
PIGU70058548,Finland,
194343151397,Estonia,48.15
194343151397,Latvia,42.22
194343151397,Finland,40.79
194343151427,Latvia,62.11
194343146171,Latvia,
0194343140353,Latvia,42.17
194343153896,Latvia,102.45
194343153896,Finland,89.44
0194343190914,Latvia,115.26
6955880396085,Latvia,217.35
194343149943,Latvia,203.77
194343145884,Latvia,39.7
194343145846,Latvia,51.04
194343048574,Latvia,
0194343014654,Latvia,106.29
0194343014654,Estonia,107.16
6955880390403,Finland,
6955880344635,Finland,37.78
0194343022727,Finland,30.35
0194343020686,Finland,27.0
0194343020501,Finland,29.44
0194343106021,Finland,28.47
0194343021430,Finland,41.04
0194343014210,Finland,181.53
0194343016627,Finland,42.89
194343036304,Latvia,
6955880326259,Latvia,23.0
6955880326242,Latvia,27.0
6955880326280,Latvia,27.19
6955880326280,Finland,25.09
0194343142906,Latvia,61.88
0194343107165,Estonia,36.45
0194343808347,Latvia,51.31
6955880349678,Finland,
0194343107165,Finland,27.0
0194343044170,Latvia,
0194343189901,Latvia,
6955880399598,Finland,140.17
6955880332915,Finland,139.02
6955880357710,Finland,97.09
0194343035925,Finland,40.39
194343189345,Latvia,83.78
6955880315857,Finland,134.59
0194343025933,Estonia,
0194343025933,Finland,
0194343050775,Latvia,101.6
0194343189642,Latvia,96.46
6955880399864,Latvia,
0194343025933,Latvia,
6955880399864,Estonia,
6955880399925,Estonia,
6955880399925,Latvia,
0194343029139,Latvia,92.54
6955880399864,Finland,
194343155050,Latvia,43.3
6955880399925,Finland,
6955880326266,Latvia,29.62
6955880390694,Finland,57.5
194343153841,Latvia,106.06
6955880306992,Latvia,70.44
0194343030425,Estonia,41.81
0194343049809,Latvia,78.71
6955880306992,Finland,77.22
6955880358151,Finland,70.4
6955880393046,Finland,87.57
6955880333141,Finland,60.68
0194343106434,Estonia,34.26
0194343106434,Finland,26.94
6955880393107,Finland,131.94
6955880393091,Finland,
0194343100388,Finland,82.38
0194343016184,Estonia,37.04
0194343016184,Finland,27.0
0194343030425,Finland,45.64
0194343030425,Latvia,41.19
194343186191,Latvia,60.84
6955880316847,Finland,142.22
0194343031620,Latvia,43.3
194343146201,Latvia,67.49
194343048147,Latvia,0.0
194343149929,Latvia,208.59
0194343082042,Latvia,271.89
194343143026,Finland,36.39
0194343107783,Latvia,85.81
194343194059,Latvia,48.52
0194343188188,Latvia,81.26
6955880358151,Latvia,58.71
0194343100388,Estonia,85.12
6955880390694,Latvia,54.82
0194343100388,Latvia,86.36
0194343035925,Latvia,45.32
0194343035925,Estonia,53.67
6955880316847,Latvia,128.69
6955880332915,Latvia,118.84
6955880357710,Latvia,79.54
6955880333141,Latvia,54.08
0194343016153,Finland,49.83
6955880396061,Finland,78.76
194343153315,Finland,153.29
194343153988,Finland,76.87
194343154121,Finland,77.71
194343140735,Latvia,73.7
194343048161,Latvia,74.49
194343199795,Latvia,63.94
0194343081090,Latvia,69.64
0194343190907,Latvia,119.94
194343191713,Latvia,
194343152011,Latvia,59.86
194343152059,Latvia,66.27
194343152059,Estonia,83.69
194343146065,Latvia,28.5
194343149738,Latvia,14.68
0692232277680,Lithuania,
0194343199467,Latvia,61.74
194343154671,Latvia,
6955880358144,Finland,51.73
194343153308,Latvia,37.43
0194343195209,Latvia,103.74
0194343195193,Latvia,133.65
0194343031491,Latvia,58.59
0194343029443,Latvia,
0194343143699,Latvia,171.29
0194343143682,Latvia,326.53
0194343141732,Latvia,
0194343140964,Latvia,
0194343142630,Latvia,
0194343156729,Latvia,60.1
0194343156712,Latvia,66.13
194343153315,Latvia,166.9
194343153315,Estonia,163.59
194343154466,Latvia,49.6
194343153988,Latvia,82.0
194343154121,Latvia,78.99
0194343187242,Latvia,95.99
6955880327690,Latvia,0.0
194343146140,Latvia,63.69
194343146157,Latvia,78.17
194343146102,Latvia,68.19
194343153520,Latvia,135.83
194343151502,Latvia,198.84
194343155067,Latvia,45.82
194343155074,Latvia,52.3
194343145839,Latvia,53.56
194343145006,Latvia,101.0
194343187365,Latvia,
194343187389,Latvia,53.24
6955880396061,Latvia,98.26
6955880396061,Estonia,103.11
6955880347742,Latvia,45.49
6955880326235,Latvia,23.0
6955880326273,Latvia,27.11
194343028088,Latvia,32.14
194343146898,Latvia,98.15
194343199023,Latvia,118.85
0194343037004,Latvia,226.55
0194343199009,Latvia,89.23
0194343187259,Latvia,96.0
194343050041,Latvia,59.86
194343185637,Latvia,61.49
194343187501,Latvia,87.69
194343185644,Latvia,64.04
194343184838,Latvia,48.65
194343082189,Latvia,97.35
194343199764,Latvia,
194343199672,Latvia,
194343184739,Latvia,75.95
194343081144,Latvia,101.06
194343187129,Latvia,77.79
194343149936,Latvia,190.89
194343107967,Latvia,
194343080529,Latvia,111.19
194343145983,Latvia,86.41
194343151991,Latvia,55.88
194343152028,Latvia,60.44
194343152042,Finland,66.24
194343146188,Latvia,37.17
194343146195,Latvia,93.29
194343071442,Lithuania,115.45
194343071442,Estonia,120.89
194343071442,Finland,120.84
194343081663,Lithuania,0.0
194343081663,Estonia,0.0
194343081663,Finland,140.83
194343080529,Lithuania,116.55
194343080529,Estonia,122.1
194343080529,Finland,132.79
6955880399369,Latvia,180.63
6955880399369,Estonia,
6955880399369,Finland,
194343184746,Latvia,51.04
6955880343942,Latvia,111.49
6955880343942,Estonia,117.99
6955880343942,Finland,119.75
6955880308170,Finland,25.0
0194343078410,Latvia,118.85
0194343082219,Latvia,219.73
194343199832,Latvia,81.26
0194343080864,Lithuania,83.49
0194343080864,Estonia,90.74
0194343080864,Finland,89.46
0194343082042,Lithuania,270.99
0194343082042,Estonia,273.44
0194343082042,Finland,281.38
0194343037004,Estonia,237.44
0194343037004,Finland,244.9
0194343081090,Estonia,89.88
0194343081090,Finland,78.06
0194343039121,Lithuania,153.73
0194343039121,Latvia,138.69
0194343039121,Estonia,150.84
0194343039121,Finland,162.36
0194343142630,Lithuania,0.0
0194343142630,Estonia,0.0
0194343142630,Finland,197.0
194343146997,Lithuania,210.87
194343146997,Latvia,213.1
194343146997,Estonia,214.92
0194343035703,Lithuania,45.53
0194343035703,Latvia,45.52
0194343035703,Estonia,45.9
0194343035703,Finland,53.83
194343082158,Lithuania,93.09
194343082158,Latvia,86.99
194343082158,Estonia,99.72
194343082158,Finland,101.19
0194343148274,Lithuania,53.55
0194343038452,Lithuania,93.13
0194343038452,Latvia,86.3
0194343038452,Estonia,92.74
0194343038452,Finland,86.84
0194343013398,Lithuania,107.22
0194343013398,Estonia,115.44
0194343013398,Finland,101.05
0194343080574,Lithuania,90.69
0194343080574,Latvia,88.57
0194343080574,Estonia,86.94
0194343080574,Finland,86.49
6955880338795,Lithuania,0.0
6955880338795,Estonia,0.0
6955880338795,Finland,121.84
0194343010502,Lithuania,81.93
0194343078410,Lithuania,128.47
0194343078410,Estonia,131.31
0194343078410,Finland,121.09
0194343019482,Lithuania,60.0
0194343019482,Latvia,60.0
0194343019482,Estonia,60.0
0194343019482,Finland,65.0
0194343147185,Lithuania,54.97
0194343104218,Lithuania,41.75
0194343104218,Latvia,36.05
0194343104218,Estonia,43.35
0194343104218,Finland,33.81
0194343031965,Lithuania,129.29
0194343042626,Lithuania,133.49
0194343042626,Latvia,133.49
0194343042626,Estonia,132.02
194343082189,Estonia,97.35
194343082189,Finland,97.35
194343081144,Estonia,97.99
194343081144,Finland,98.99
0194343191485,Latvia,39.7
194343036298,Latvia,286.18
0194343045658,Latvia,86.8
194343152011,Lithuania,73.13
194343152011,Estonia,65.93
194343152011,Finland,61.94
6955880399871,Lithuania,
6955880399918,Lithuania,
6955880399925,Lithuania,
6955880399932,Lithuania,
6955880318674,Lithuania,55.99
6955880318674,Latvia,55.99
6955880318681,Lithuania,0.0
